状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<FTYPE>,<Program>,<S>,<call>,<if语句>,<relop>,<relop和加法表达式>,<return语句>,<while语句>,<下标数组>,<中括号和数字>,<乘除因子>,<内部变量声明>,<内部声明>,<函数声明>,<加减项>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参>,<实参列表>,<形参>,<数组声明>,<表达式>,<表达式循环>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<逗号和表达式>,<项>,
91, ,r51, , , , , , , , , , , , , ,r51, , , , , , ,r51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
92, ,r52, , , , , , , , , , , , , ,r52, , , , , , ,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
93, ,r53, , , , , , , , , , , , , ,r53, , , , , , ,r53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
94,r54, , , , , , , ,r54,r54,r54, ,r54,r54,r54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
95, ,s67, , , , , , , , , , , , , ,s68, , , , , , ,s66, , , , , , , , , , , , , , , , , , , , , , , , , , ,65, , , , , , , , , , , , , , , ,129,
96, ,s67, , , , , , , , , , , , , ,s68, , , , , , ,s66, , , , , , , , , , , , , , , , , , , , , , , , , , ,65, , , , , , , , , , , , , , , ,130,
97,r58, , , ,r58, ,r58, ,r58,r58,r58, ,r58,r58,r58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
98, ,s67, , , , , , , , , , , , , ,s68, , , , , , ,s66, , , , , , , , , , , , , , , , , , , , , , , , , , ,131, , , , , , , , , , , , , , , , ,
99, ,s67, , , , , , , , , , , , , ,s68, , , , , , ,s66, , , , , , , , , , , , , , , , , , , , , , , , , , ,132, , , , , , , , , , , , , , , , ,
100, , ,s133, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
101,r64, , ,r64,r64, ,r64,r64,r64,r64,r64, ,r64,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
102,r65, , ,r65,r65, ,r65,r65,r65,r65,r65, ,r65,r65,r65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
103, ,s140, , , , , , , , , , , , , ,s141, , , , , , ,s139, , , , , , , , , , , , , , , , , , , , , , ,136, , , ,138, , , , ,134, , ,135, , , , , , , ,137,
104, , , , , , , , ,s142, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
105, , , , , , , , , , , , , , , , , ,s143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
106,s93, , , , , , , , ,s88,s89, ,s92,s90,s91, , ,r46, , , , , , , , , , , , , , , , ,145,144, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
107,r57, , , ,s147, ,s148, , ,r57,r57, ,r57,r57,r57, , ,r57, , , , , , , , , , , , , , , , , , , , , , , , , , ,146, , , , , , , , , , , , , , , , , , , , , ,
108,r61, , ,s150,r61, ,r61,s151, ,r61,r61, ,r61,r61,r61, , ,r61, , , , , , , , , , , , , , , , , , , , , , ,149, , , , , , , , , , , , , , , , , , , , , , , , , ,
